Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
"",PRODUITS ENTRETIEN,,,,,
12/03/2014,1er trimestre 14,,"105,60","105,60",,"17,60"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/05/2014,Achat ampoules 2013,,"343,20","343,20",,"57,20"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/06/2014,Fourniture trimestrielle,,"105,60","105,60",,"17,60"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/09/2014,Fourniture trimestrielle,,"105,60","105,60",,"17,60"
"",Four:S.A.R.L. T.P.V.S.,,,,,
11/12/2014,Fourniture trimestrielle,,"105,60","105,60",,"17,60"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 60410000 PRODUITS ENTRETIEN,,"765,60","765,60",,"127,60"
"",,,,,,
"",EAU FROIDE,,,,,
03/02/2014,Facture du 03/02/14 469m3,,"1501,17","1501,17",,"107,40"
"",Four:  EAU DE PARIS,,,,,
05/05/2014,Facture du 05/05/14 451m3,,"1465,74","1465,74",,"105,26"
"",Four:  EAU DE PARIS,,,,,
04/08/2014,Facture du 04/08/14 - 427m3,,"1388,33","1388,33",,"99,70"
"",Four:  EAU DE PARIS,,,,,
04/11/2014,Facture du 4/11/14 393m3,,"1278,66","1278,66",,"91,80"
"",Four:  EAU DE PARIS,,,,,
"",Total compte 60610001 EAU FROIDE,,"5633,90","5633,90",,"404,16"
"",,,,,,
"",E.D.F. SERV.GX Cpteur 069,,,,,
20/02/2014,Facture du 20/02/14,,"389,58","389,58",,"52,60"
"",Four:  E.D.F Entreprises,,,,,
07/05/2014,Facture du 07/05/14,,"387,10","387,10",,"48,81"
"",Four:  E.D.F Entreprises,,,,,
24/06/2014,Facture du 24/06/14,,"172,30","172,30",,"27,43"
"",Four:  E.D.F Entreprises,,,,,
21/08/2014,Facture du 21/08/14,,"363,41","363,41",,"35,12"
"",Four:  E.D.F Entreprises,,,,,
24/10/2014,Facture du 24/10/14,,"278,21","278,21",,"41,27"
"",Four:  E.D.F Entreprises,,,,,
24/12/2014,Facture du 24/12/14,,"351,15","351,15",,"53,57"
"",Four:  E.D.F Entreprises,,,,,
