Date,Libellés,N° Fact,Montants,Récupérable,Déductible,T.V.A.
"",,,,,,
"",0001 CHARGES GENERALES,,,,,
"",PRODUITS ENTRETIEN,,,,,
12/03/2013,1er trimestre 13,,"102,86","102,86",,"16,86"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/05/2013,Ampoules 2012,,"303,78","303,78",,"49,78"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/06/2013,2em trimestre 13,,"102,98","102,98",,"16,88"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/09/2013,3em trimestre 13,,"105,25","105,25",,"17,25"
"",Four:S.A.R.L. T.P.V.S.,,,,,
12/12/2013,4em trimestre 13,,"105,25","105,25",,"17,25"
"",Four:S.A.R.L. T.P.V.S.,,,,,
"",Total compte 60410000 PRODUITS ENTRETIEN,,"720,12","720,12",,"118,02"
"",,,,,,
"",EAU FROIDE,,,,,
04/02/2013,Facture du 04/02/13 494m3,,"1516,69","1516,69",,"88,90"
"",Four:  EAU DE PARIS,,,,,
17/05/2013,Facture du 17/05/13 500m3,,"1567,10","1567,10",,"91,92"
"",Four:  EAU DE PARIS,,,,,
29/07/2013,Facture du 29/07/13 374m3,,"1174,94","1174,94",,"68,89"
"",Four:  EAU DE PARIS,,,,,
29/10/2013,Facture du 29/10/13 404m3,,"1268,33","1268,33",,"74,37"
"",Four:  EAU DE PARIS,,,,,
"",Total compte 60610001 EAU FROIDE,,"5527,06","5527,06",,"324,08"
"",,,,,,
"",E.D.F. SERV.GX Cpteur 069,,,,,
20/02/2013,Facture du 20/02/13,,"325,45","325,45",,"48,71"
"",Four:  E.D.F Entreprises,,,,,
19/04/2013,Facture du 19/04/13,,"298,97","298,97",,"44,37"
"",Four:  E.D.F Entreprises,,,,,
22/06/2013,Facture du 22/06/13,,"208,78","208,78",,"30,17"
"",Four:  E.D.F Entreprises,,,,,
21/08/2013,Facture du 21/08/13,,"238,42","238,42",,"33,47"
"",Four:  E.D.F Entreprises,,,,,
22/10/2013,Facture du 22/10/13,,"262,21","262,21",,"38,84"
"",Four:  E.D.F Entreprises,,,,,
21/12/2013,Facture du 21/12/13,,"388,60","388,60",,"58,07"
"",Four:  E.D.F Entreprises,,,,,
